"id","gebouw","muurschildering","bron"
"1","RM18423","RM18423MU1","http://www.wikidata.org/entity/Q122982902"
"2","RM18423","RM18423MU10","http://www.wikidata.org/entity/Q122982902"
"3","RM18423","RM18423MU11","http://www.wikidata.org/entity/Q122982902"
"4","RM18423","RM18423MU12","http://www.wikidata.org/entity/Q122982902"
"5","RM18423","RM18423MU13","http://www.wikidata.org/entity/Q122982902"
"6","RM18423","RM18423MU14","http://www.wikidata.org/entity/Q122982902"
"7","RM18423","RM18423MU15","http://www.wikidata.org/entity/Q122982902"
"8","RM18423","RM18423MU16","http://www.wikidata.org/entity/Q122982902"
"9","RM18423","RM18423MU17","http://www.wikidata.org/entity/Q122982902"
"10","RM18423","RM18423MU18","http://www.wikidata.org/entity/Q122982902"
"11","RM18423","RM18423MU19","http://www.wikidata.org/entity/Q122982902"
"12","RM18423","RM18423MU2","http://www.wikidata.org/entity/Q122982902"
"13","RM18423","RM18423MU20","http://www.wikidata.org/entity/Q122982902"
"14","RM18423","RM18423MU21","http://www.wikidata.org/entity/Q122982902"
"15","RM18423","RM18423MU22","http://www.wikidata.org/entity/Q122982902"
"16","RM18423","RM18423MU23","http://www.wikidata.org/entity/Q122982902"
"17","RM18423","RM18423MU3","http://www.wikidata.org/entity/Q122982902"
"18","RM18423","RM18423MU4","http://www.wikidata.org/entity/Q122982902"
"19","RM18423","RM18423MU5","http://www.wikidata.org/entity/Q122982902"
"20","RM18423","RM18423MU6","http://www.wikidata.org/entity/Q122982902"
"21","RM18423","RM18423MU7","http://www.wikidata.org/entity/Q122982902"
"22","RM18423","RM18423MU8","http://www.wikidata.org/entity/Q122982902"
"23","RM18423","RM18423MU9","http://www.wikidata.org/entity/Q122982902"
"24","RM18555","RM18555MU1","http://www.wikidata.org/entity/Q122982902"
"25","RM18555","RM18555MU10","http://www.wikidata.org/entity/Q122982902"
"26","RM18555","RM18555MU11","http://www.wikidata.org/entity/Q122982902"
"27","RM18555","RM18555MU12","http://www.wikidata.org/entity/Q122982902"
"28","RM18555","RM18555MU13","http://www.wikidata.org/entity/Q122982902"
"29","RM18555","RM18555MU14","http://www.wikidata.org/entity/Q122982902"
"30","RM18555","RM18555MU15","http://www.wikidata.org/entity/Q122982902"
"31","RM18555","RM18555MU16","http://www.wikidata.org/entity/Q122982902"
"32","RM18555","RM18555MU17","http://www.wikidata.org/entity/Q122982902"
"33","RM18555","RM18555MU18","http://www.wikidata.org/entity/Q122982902"
"34","RM18555","RM18555MU19","http://www.wikidata.org/entity/Q122982902"
"35","RM18555","RM18555MU2","http://www.wikidata.org/entity/Q122982902"
"36","RM18555","RM18555MU20","http://www.wikidata.org/entity/Q122982902"
"37","RM18555","RM18555MU21","http://www.wikidata.org/entity/Q122982902"
"38","RM18555","RM18555MU22","http://www.wikidata.org/entity/Q122982902"
"39","RM18555","RM18555MU3","http://www.wikidata.org/entity/Q122982902"
"40","RM18555","RM18555MU4","http://www.wikidata.org/entity/Q122982902"
"41","RM18555","RM18555MU5","http://www.wikidata.org/entity/Q122982902"
"42","RM18555","RM18555MU6","http://www.wikidata.org/entity/Q122982902"
"43","RM18555","RM18555MU7","http://www.wikidata.org/entity/Q122982902"
"44","RM18555","RM18555MU8","http://www.wikidata.org/entity/Q122982902"
"45","RM18555","RM18555MU9","http://www.wikidata.org/entity/Q122982902"
"46","RM21303","RM21303MU1","http://www.wikidata.org/entity/Q122982902"
"47","RM21303","RM21303MU2","http://www.wikidata.org/entity/Q122982902"
"48","RM21303","RM21303MU3","http://www.wikidata.org/entity/Q122982902"
"49","RM26265","RM26265MU1","http://www.wikidata.org/entity/Q122982902"
"50","RM26265","RM26265MU2","http://www.wikidata.org/entity/Q122982902"
"51","RM26265","RM26265MU3","http://www.wikidata.org/entity/Q122982902"
"52","RM26265","RM26265MU4","http://www.wikidata.org/entity/Q122982902"
"53","RM26265","RM26265MU5","http://www.wikidata.org/entity/Q122982902"
"54","RM26265","RM26265MU6","http://www.wikidata.org/entity/Q122982902"
"55","RM26265","RM26265MU7","http://www.wikidata.org/entity/Q122982902"
"56","RM26265","RM26265MU8","http://www.wikidata.org/entity/Q122982902"
"57","RM26265","RM26265MU9","http://www.wikidata.org/entity/Q122982902"
"58","RM29894","RM29894MU1","http://www.wikidata.org/entity/Q122982902"
"59","RM29894","RM29894MU10","http://www.wikidata.org/entity/Q122982902"
"60","RM29894","RM29894MU11","http://www.wikidata.org/entity/Q122982902"
"61","RM29894","RM29894MU12","http://www.wikidata.org/entity/Q122982902"
"62","RM29894","RM29894MU13","http://www.wikidata.org/entity/Q122982902"
"63","RM29894","RM29894MU2","http://www.wikidata.org/entity/Q122982902"
"64","RM29894","RM29894MU3","http://www.wikidata.org/entity/Q122982902"
"65","RM29894","RM29894MU4","http://www.wikidata.org/entity/Q122982902"
"66","RM29894","RM29894MU5","http://www.wikidata.org/entity/Q122982902"
"67","RM29894","RM29894MU6","http://www.wikidata.org/entity/Q122982902"
"68","RM29894","RM29894MU7","http://www.wikidata.org/entity/Q122982902"
"69","RM29894","RM29894MU8","http://www.wikidata.org/entity/Q122982902"
"70","RM29894","RM29894MU9","http://www.wikidata.org/entity/Q122982902"
"71","RM29897","RM29897MU1","http://www.wikidata.org/entity/Q122982902"
"72","RM29897","RM29897MU2","http://www.wikidata.org/entity/Q122982902"
"73","RM29897","RM29897MU3","http://www.wikidata.org/entity/Q122982902"
"74","RM29897","RM29897MU4","http://www.wikidata.org/entity/Q122982902"
"75","RM29897","RM29897MU5","http://www.wikidata.org/entity/Q122982902"
"76","RM29897","RM29897MU6","http://www.wikidata.org/entity/Q122982902"
"77","RM31612","RM31612MU1","http://www.wikidata.org/entity/Q122982902"
"78","RM31612","RM31612MU10","http://www.wikidata.org/entity/Q122982902"
"79","RM31612","RM31612MU11","http://www.wikidata.org/entity/Q122982902"
"80","RM31612","RM31612MU12","http://www.wikidata.org/entity/Q122982902"
"81","RM31612","RM31612MU13","http://www.wikidata.org/entity/Q122982902"
"82","RM31612","RM31612MU14","http://www.wikidata.org/entity/Q122982902"
"83","RM31612","RM31612MU15","http://www.wikidata.org/entity/Q122982902"
"84","RM31612","RM31612MU16","http://www.wikidata.org/entity/Q122982902"
"85","RM31612","RM31612MU17","http://www.wikidata.org/entity/Q122982902"
"86","RM31612","RM31612MU2","http://www.wikidata.org/entity/Q122982902"
"87","RM31612","RM31612MU3","http://www.wikidata.org/entity/Q122982902"
"88","RM31612","RM31612MU4","http://www.wikidata.org/entity/Q122982902"
"89","RM31612","RM31612MU5","http://www.wikidata.org/entity/Q122982902"
"90","RM31612","RM31612MU6","http://www.wikidata.org/entity/Q122982902"
"91","RM31612","RM31612MU7","http://www.wikidata.org/entity/Q122982902"
"92","RM31612","RM31612MU8","http://www.wikidata.org/entity/Q122982902"
"93","RM31612","RM31612MU9","http://www.wikidata.org/entity/Q122982902"
"94","RM34504","RM34504MU1","http://www.wikidata.org/entity/Q122982902"
"95","RM34504","RM34504MU2","http://www.wikidata.org/entity/Q122982902"
"96","RM34504","RM34504MU3","http://www.wikidata.org/entity/Q122982902"
"97","RM34504","RM34504MU4","http://www.wikidata.org/entity/Q122982902"
"98","RM34504","RM34504MU5","http://www.wikidata.org/entity/Q122982902"
"99","RM34504","RM34504MU6","http://www.wikidata.org/entity/Q122982902"
"100","RM40295","RM40295MU1","http://www.wikidata.org/entity/Q122982902"
"101","RM40295","RM40295MU10","http://www.wikidata.org/entity/Q122982902"
"102","RM40295","RM40295MU11","http://www.wikidata.org/entity/Q122982902"
"103","RM40295","RM40295MU12","http://www.wikidata.org/entity/Q122982902"
"104","RM40295","RM40295MU13","http://www.wikidata.org/entity/Q122982902"
"105","RM40295","RM40295MU14","http://www.wikidata.org/entity/Q122982902"
"106","RM40295","RM40295MU15","http://www.wikidata.org/entity/Q122982902"
"107","RM40295","RM40295MU16","http://www.wikidata.org/entity/Q122982902"
"108","RM40295","RM40295MU17","http://www.wikidata.org/entity/Q122982902"
"109","RM40295","RM40295MU18","http://www.wikidata.org/entity/Q122982902"
"110","RM40295","RM40295MU19","http://www.wikidata.org/entity/Q122982902"
"111","RM40295","RM40295MU2","http://www.wikidata.org/entity/Q122982902"
"112","RM40295","RM40295MU20","http://www.wikidata.org/entity/Q122982902"
"113","RM40295","RM40295MU21","http://www.wikidata.org/entity/Q122982902"
"114","RM40295","RM40295MU22","http://www.wikidata.org/entity/Q122982902"
"115","RM40295","RM40295MU23","http://www.wikidata.org/entity/Q122982902"
"116","RM40295","RM40295MU24","http://www.wikidata.org/entity/Q122982902"
"117","RM40295","RM40295MU25","http://www.wikidata.org/entity/Q122982902"
"118","RM40295","RM40295MU26","http://www.wikidata.org/entity/Q122982902"
"119","RM40295","RM40295MU3","http://www.wikidata.org/entity/Q122982902"
"120","RM40295","RM40295MU4","http://www.wikidata.org/entity/Q122982902"
"121","RM40295","RM40295MU5","http://www.wikidata.org/entity/Q122982902"
"122","RM40295","RM40295MU6","http://www.wikidata.org/entity/Q122982902"
"123","RM40295","RM40295MU7","http://www.wikidata.org/entity/Q122982902"
"124","RM40295","RM40295MU8","http://www.wikidata.org/entity/Q122982902"
"125","RM40295","RM40295MU9","http://www.wikidata.org/entity/Q122982902"
"126","RM40301","RM40301MU1","http://www.wikidata.org/entity/Q122982902"
"127","RM40301","RM40301MU2","http://www.wikidata.org/entity/Q122982902"
"128","RM40301","RM40301MU3","http://www.wikidata.org/entity/Q122982902"
"129","RM40301","RM40301MU4","http://www.wikidata.org/entity/Q122982902"
"130","RM8247","RM8247MU1","http://www.wikidata.org/entity/Q122982902"
"131","RM8247","RM8247MU10","http://www.wikidata.org/entity/Q122982902"
"132","RM8247","RM8247MU11","http://www.wikidata.org/entity/Q122982902"
"133","RM8247","RM8247MU12","http://www.wikidata.org/entity/Q122982902"
"134","RM8247","RM8247MU13","http://www.wikidata.org/entity/Q122982902"
"135","RM8247","RM8247MU14","http://www.wikidata.org/entity/Q122982902"
"136","RM8247","RM8247MU2","http://www.wikidata.org/entity/Q122982902"
"137","RM8247","RM8247MU3","http://www.wikidata.org/entity/Q122982902"
"138","RM8247","RM8247MU4","http://www.wikidata.org/entity/Q122982902"
"139","RM8247","RM8247MU5","http://www.wikidata.org/entity/Q122982902"
"140","RM8247","RM8247MU6","http://www.wikidata.org/entity/Q122982902"
"141","RM8247","RM8247MU7","http://www.wikidata.org/entity/Q122982902"
"142","RM8247","RM8247MU8","http://www.wikidata.org/entity/Q122982902"
"143","RM8247","RM8247MU9","http://www.wikidata.org/entity/Q122982902"
"144","RM9465","RM9465MU1","http://www.wikidata.org/entity/Q122982902"
"145","RM9465","RM9465MU2","http://www.wikidata.org/entity/Q122982902"
"146","RM9465","RM9465MU3","http://www.wikidata.org/entity/Q122982902"
"147","RM9465","RM9465MU4","http://www.wikidata.org/entity/Q122982902"
"148","RM9465","RM9465MU5","http://www.wikidata.org/entity/Q122982902"
"149","RM9465","RM9465MU6","http://www.wikidata.org/entity/Q122982902"
"150","RM9465","RM9465MU7","http://www.wikidata.org/entity/Q122982902"
"151","RM9465","RM9465MU8","http://www.wikidata.org/entity/Q122982902"
"152","RM9465","RM9465MU9","http://www.wikidata.org/entity/Q122982902"
"153","RM9469","RM9469MU1","http://www.wikidata.org/entity/Q122982902"
"154","RM9469","RM9469MU2","http://www.wikidata.org/entity/Q122982902"
"155","RM9469","RM9469MU3","http://www.wikidata.org/entity/Q122982902"
"156","RM9469","RM9469MU4","http://www.wikidata.org/entity/Q122982902"
"157","RM9469","RM9469MU5","http://www.wikidata.org/entity/Q122982902"
"158","RM9469","RM9469MU6","http://www.wikidata.org/entity/Q122982902"
"159","RM9469","RM9469MU7","http://www.wikidata.org/entity/Q122982902"
"160","RM9469","RM9469MU8","http://www.wikidata.org/entity/Q122982902"
"161","RM9469","RM9469MU9","http://www.wikidata.org/entity/Q122982902"
"162","RM9474","RM9474MU1","http://www.wikidata.org/entity/Q122982902"
"163","RM9474","RM9474MU2","http://www.wikidata.org/entity/Q122982902"
"164","RM9474","RM9474MU3","http://www.wikidata.org/entity/Q122982902"
"165","RM9780","RM9780MU1","http://www.wikidata.org/entity/Q122982902"
"166","RM9780","RM9780MU10","http://www.wikidata.org/entity/Q122982902"
"167","RM9780","RM9780MU11","http://www.wikidata.org/entity/Q122982902"
"168","RM9780","RM9780MU12","http://www.wikidata.org/entity/Q122982902"
"169","RM9780","RM9780MU13","http://www.wikidata.org/entity/Q122982902"
"170","RM9780","RM9780MU14","http://www.wikidata.org/entity/Q122982902"
"171","RM9780","RM9780MU2","http://www.wikidata.org/entity/Q122982902"
"172","RM9780","RM9780MU3","http://www.wikidata.org/entity/Q122982902"
"173","RM9780","RM9780MU4","http://www.wikidata.org/entity/Q122982902"
"174","RM9780","RM9780MU5","http://www.wikidata.org/entity/Q122982902"
"175","RM9780","RM9780MU6","http://www.wikidata.org/entity/Q122982902"
"176","RM9780","RM9780MU7","http://www.wikidata.org/entity/Q122982902"
"177","RM9780","RM9780MU8","http://www.wikidata.org/entity/Q122982902"
"178","RM9780","RM9780MU9","http://www.wikidata.org/entity/Q122982902"
